Date,Year,Month,DayOfWeek,SportID,SportName,Strain,AvgHeartRate,MaxHeartRate,Duration_Minutes,Calories,StartTime,EndTime
05/07/2025,2025,7,Saturday,45,Weightlifting,9.115,106,149,54,222,2025-07-05T21:43:27.122Z,2025-07-05T22:37:26.122Z
01/07/2025,2025,7,Tuesday,34,Tennis,13.7639,138,172,70,714,2025-07-01T23:06:00.940Z,2025-07-02T00:16:06.529Z
01/07/2025,2025,7,Tuesday,45,Weightlifting,7.5467,86,151,53,103,2025-07-01T22:11:07.062Z,2025-07-01T23:03:40.062Z
01/07/2025,2025,7,Tuesday,63,Ice Skating,8.4991,121,157,43,305,2025-07-01T18:36:00.890Z,2025-07-01T19:19:29.930Z
30/06/2025,2025,6,Monday,0,Activity,4.5503,80,150,33,70,2025-06-30T23:28:06.891Z,2025-07-01T00:01:09.458Z
30/06/2025,2025,6,Monday,45,Weightlifting,11.9566,89,130,72,137,2025-06-30T21:24:39.569Z,2025-06-30T22:36:27.569Z
29/06/2025,2025,6,Sunday,45,Weightlifting,12.8524,86,123,56,93,2025-06-29T15:51:05.252Z,2025-06-29T16:47:07.252Z
28/06/2025,2025,6,Saturday,249,Unknown,16.5927,141,170,111,1185,2025-06-28T19:22:30.780Z,2025-06-28T21:13:17.720Z
28/06/2025,2025,6,Saturday,45,Weightlifting,8.7499,95,156,53,184,2025-06-28T14:50:18.013Z,2025-06-28T15:43:36.013Z
25/06/2025,2025,6,Wednesday,45,Weightlifting,7.224,83,130,68,95,2025-06-25T23:20:54.579Z,2025-06-26T00:28:34.579Z
25/06/2025,2025,6,Wednesday,34,Tennis,15.413,146,170,72,832,2025-06-25T21:39:00.000Z,2025-06-25T22:50:59.000Z
25/06/2025,2025,6,Wednesday,34,Tennis,10.6719,126,164,54,424,2025-06-25T15:09:00.000Z,2025-06-25T16:02:59.000Z
24/06/2025,2025,6,Tuesday,45,Weightlifting,11.9572,95,129,59,132,2025-06-24T22:07:26.195Z,2025-06-24T23:06:08.195Z
24/06/2025,2025,6,Tuesday,34,Tennis,13.0138,139,168,57,590,2025-06-24T17:34:30.000Z,2025-06-24T18:31:29.000Z
23/06/2025,2025,6,Monday,45,Weightlifting,13.4429,101,146,68,243,2025-06-23T22:48:04.428Z,2025-06-23T23:56:02.428Z
